category,address,price
"Appartement 3 pièces 118 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),778 590 €
"Appartement 12 pièces 184 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),1 097 000 €
"Appartement 3 pièces 65 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),208 000 €
"Studio 29 m²
Lille 59000 (Fives)",Lille 59000 (Fives),177 500 €
"Appartement 2 pièces 42 m²
Lille 59000 (Fives)",Lille 59000 (Fives),252 400 €
"Appartement 3 pièces 82 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),299 000 €
"Appartement 3 pièces 95 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),340 000 €
"Appartement 3 pièces 73 m²
Lille 59000 (Fives)",Lille 59000 (Fives),423 600 €
"Appartement 3 pièces 73 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),435 300 €
"Appartement 4 pièces 85 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),335 000 €
"Synésens (appartements neufs 2 à 5 pièces)
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),à partir de 299 000 €
"Appartement 1 pièce 29 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),122 000 €
"Appartement 2 pièces 43 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),152 000 €
"Appartement 4 pièces 85 m²
Lomme 59160 (Vieux Lille)",Lomme 59160 (Vieux Lille),196 000 €
"Appartement 3 pièces 65 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),200 450 €
"Appartement 3 pièces 72 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),289 246 €
"RESIDENCE QWEST HELLEMMES (appartements neufs 2 à 4 pièces)
Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",Hellemmes-Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin),189 000 à 312 000 €
"Green Square (appartements neufs 2 à 5 pièces)
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),97 777 à 287 000 €
"Appartement 4 pièces 67 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),213 000 €
"Appartement 3 pièces 105 m²
Lille 59000 (Vieux Lille)",Lille 59000 (Vieux Lille),530 000 €
"Quartier Latin (appartements neufs 3 à 4 pièces)
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),à partir de 303 000 €
"CONVERGENCE (appartements neufs 3 à 4 pièces)
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),351 000 à 640 000 €
