category,nbr_rooms,area,Negotiable,price,Locality ,pincode,Type,address
"Appartement 3 pièces 65 m²
Lille 59000 (Bois Blanc)",3,65,No,274500,Bois Blanc,59000,Appartement,Lille 59000 (Bois Blanc)
"Appartement 2 pièces 45 m²
Lille 59000 (Moulins)",2,45,No,176000,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Studio 14 m²
Lille 59000 (Fives)",1,14,No,52500,Fives,59000,Studio,Lille 59000 (Fives)
"Appartement 2 pièces 43 m²
Lille 59000 (Lille-Sud)",2,43,No,155250,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 3 pièces 63 m²
Lille 59800 (Fives)",3,63,No,189000,Fives,59800,Appartement,Lille 59800 (Fives)
"Appartement 1 pièce 17 m²
Lille 59000 (Vauban - Esquermes)",1,17,No,91000,Vauban - Esquermes,59000,Appartement,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 50 m²
Lille 59000 (Wazemmes)",2,50,No,200000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 3 pièces 83 m²
Lille 59000 (Mont à Camp - Marais)",3,83,No,199500,Mont à Camp - Marais,59000,Appartement,Lille 59000 (Mont à Camp - Marais)
"Maison 9 pièces 190 m²
Lille 59000 (Vauban - Esquermes)",9,190,No,672000,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Appartement 4 pièces 90 m²
Lille 59000 (Vieux Lille)",4,90,No,286500,Vieux Lille,59000,Appartement,Lille 59000 (Vieux Lille)
"Appartement 2 pièces 42 m²
Lille 59000 (Centre-ville - Euralille)",2,42,No,177000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 4 pièces 81 m²
Lille 59000 (Vauban - Esquermes)",4,81,No,255000,Vauban - Esquermes,59000,Maison,Lille 59000 (Vauban - Esquermes)
"Maison 3 pièces 75 m²
Lille 59000 (Wazemmes)",3,75,No,199500,Wazemmes,59000,Maison,Lille 59000 (Wazemmes)
